root@comp3134:~# tcpdump -i enp1s0
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on enp1s0, link-type EN10MB (Ethernet), capture size 262144 bytes
20:25:38.758093 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 3798617461:3798617569, ack 3713425324, win 501, options [nop,nop,TS val 1835574703 ecr 487754294], length 108
20:25:38.758146 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 108:260, ack 1, win 501, options [nop,nop,TS val 1835574703 ecr 487754294], length 152
20:25:38.758181 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 260:296, ack 1, win 501, options [nop,nop,TS val 1835574703 ecr 487754294], length 36
20:25:38.758673 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 296:540, ack 1, win 501, options [nop,nop,TS val 1835574704 ecr 487754294], length 244
20:25:38.758712 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 540:796, ack 1, win 501, options [nop,nop,TS val 1835574704 ecr 487754294], length 256
20:25:38.758737 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 796:832, ack 1, win 501, options [nop,nop,TS val 1835574704 ecr 487754294], length 36
20:25:38.758752 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 832:1052, ack 1, win 501, options [nop,nop,TS val 1835574704 ecr 487754294], length 220
20:25:38.758793 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 1052:1344, ack 1, win 501, options [nop,nop,TS val 1835574704 ecr 487754294], length 292
20:25:38.758821 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 1344:1564, ack 1, win 501, options [nop,nop,TS val 1835574704 ecr 487754294], length 220
20:25:38.758846 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 1564:1600, ack 1, win 501, options [nop,nop,TS val 1835574704 ecr 487754294], length 36
20:25:38.758874 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 1600:1820, ack 1, win 501, options [nop,nop,TS val 1835574704 ecr 487754294], length 220
