root@comp3134:~# tcpdump -i enp1s0 port 22
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on enp1s0, link-type EN10MB (Ethernet), capture size 262144 bytes
20:32:44.323111 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 3818974409:3818974517, ack 3713454276, win 501, options [nop,nop,TS val 1836000268 ecr 488179854], length 108
20:32:44.323154 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 108:260, ack 1, win 501, options [nop,nop,TS val 1836000268 ecr 488179854], length 152
20:32:44.323185 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 260:296, ack 1, win 501, options [nop,nop,TS val 1836000268 ecr 488179854], length 36
20:32:44.323693 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 296:540, ack 1, win 501, options [nop,nop,TS val 1836000269 ecr 488179854], length 244
20:32:44.323722 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 540:576, ack 1, win 501, options [nop,nop,TS val 1836000269 ecr 488179854], length 36
20:32:44.323752 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 576:796, ack 1, win 501, options [nop,nop,TS val 1836000269 ecr 488179854], length 220
20:32:44.323791 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 796:1052, ack 1, win 501, options [nop,nop,TS val 1836000269 ecr 488179854], length 256
20:32:44.323811 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 1052:1088, ack 1, win 501, options [nop,nop,TS val 1836000269 ecr 488179854], length 36
20:32:44.323834 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 1088:1308, ack 1, win 501, options [nop,nop,TS val 1836000269 ecr 488179854], length 220
20:32:44.323879 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 1308:1600, ack 1, win 501, options [nop,nop,TS val 1836000269 ecr 488179854], length 292
20:32:44.323901 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 1600:1820, ack 1, win 501, options [nop,nop,TS val 1836000269 ecr 488179854], length 220
20:32:44.323926 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 1820:1856, ack 1, win 501, options [nop,nop,TS val 1836000269 ecr 488179854], length 36
20:32:44.323955 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 1856:2084, ack 1, win 501, options [nop,nop,TS val 1836000269 ecr 488179854], length 228
20:32:44.323975 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 2084:2120, ack 1, win 501, options [nop,nop,TS val 1836000269 ecr 488179854], length 36
