root@comp3134:~# tcpdump -i enp1s0 src 155.138.140.26
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on enp1s0, link-type EN10MB (Ethernet), capture size 262144 bytes
20:34:28.837791 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 3821224157:3821224265, ack 3713459812, win 501, options [nop,nop,TS val 1836104783 ecr 488284367], length 108
20:34:28.837836 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 108:260, ack 1, win 501, options [nop,nop,TS val 1836104783 ecr 488284367], length 152
20:34:28.837869 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 260:296, ack 1, win 501, options [nop,nop,TS val 1836104783 ecr 488284367], length 36
20:34:28.838382 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 296:540, ack 1, win 501, options [nop,nop,TS val 1836104783 ecr 488284367], length 244
20:34:28.838409 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 540:576, ack 1, win 501, options [nop,nop,TS val 1836104783 ecr 488284367], length 36
20:34:28.838440 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 576:796, ack 1, win 501, options [nop,nop,TS val 1836104783 ecr 488284367], length 220
20:34:28.838463 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 796:832, ack 1, win 501, options [nop,nop,TS val 1836104783 ecr 488284367], length 36
20:34:28.838493 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 832:1052, ack 1, win 501, options [nop,nop,TS val 1836104784 ecr 488284367], length 220
20:34:28.838514 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 1052:1088, ack 1, win 501, options [nop,nop,TS val 1836104784 ecr 488284367], length 36
20:34:28.838546 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 1088:1308, ack 1, win 501, options [nop,nop,TS val 1836104784 ecr 488284367], length 220
20:34:28.838579 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 1308:1564, ack 1, win 501, options [nop,nop,TS val 1836104784 ecr 488284367], length 256
20:34:28.838613 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 1564:1820, ack 1, win 501, options [nop,nop,TS val 1836104784 ecr 488284367], length 256
20:34:28.838633 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 1820:1856, ack 1, win 501, options [nop,nop,TS val 1836104784 ecr 488284367], length 36
20:34:28.838659 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 1856:2076, ack 1, win 501, options [nop,nop,TS val 1836104784 ecr 488284367], length 220
20:34:28.838698 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 2076:2340, ack 1, win 501, options [nop,nop,TS val 1836104784 ecr 488284367], length 264
20:34:28.838730 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 2340:2640, ack 1, win 501, options [nop,nop,TS val 1836104784 ecr 488284367], length 300
20:34:28.838767 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 2640:2904, ack 1, win 501, options [nop,nop,TS val 1836104784 ecr 488284367], length 264
20:34:28.838784 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 2904:3132, ack 1, win 501, options [nop,nop,TS val 1836104784 ecr 488284367], length 228
20:34:28.838812 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 3132:3168, ack 1, win 501, options [nop,nop,TS val 1836104784 ecr 488284367], length 36
20:34:28.838839 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 3168:3396, ack 1, win 501, options [nop,nop,TS val 1836104784 ecr 488284367], length 228
20:34:28.838862 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 3396:3432, ack 1, win 501, options [nop,nop,TS val 1836104784 ecr 488284367], length 36
20:34:28.838892 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 3432:3660, ack 1, win 501, options [nop,nop,TS val 1836104784 ecr 488284367], length 228
20:34:28.838915 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 3660:3696, ack 1, win 501, options [nop,nop,TS val 1836104784 ecr 488284367], length 36
20:34:28.838948 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 3696:3924, ack 1, win 501, options [nop,nop,TS val 1836104784 ecr 488284367], length 228
20:34:28.838970 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 3924:3960, ack 1, win 501, options [nop,nop,TS val 1836104784 ecr 488284367], length 36
20:34:28.838997 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 3960:4188, ack 1, win 501, options [nop,nop,TS val 1836104784 ecr 488284367], length 228
20:34:28.839019 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 4188:4224, ack 1, win 501, options [nop,nop,TS val 1836104784 ecr 488284367], length 36
20:34:28.839049 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 4224:4452, ack 1, win 501, options [nop,nop,TS val 1836104784 ecr 488284367], length 228
20:34:28.839069 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 4452:4488, ack 1, win 501, options [nop,nop,TS val 1836104784 ecr 488284367], length 36
