root@comp3134:~# tcpdump -n -i enp1s0
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on enp1s0, link-type EN10MB (Ethernet), capture size 262144 bytes
20:31:00.362805 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 3803732309:3803732417, ack 3713441932, win 501, options [nop,nop,TS val 1835896308 ecr 488075894], length 108
20:31:00.362850 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 108:144, ack 1, win 501, options [nop,nop,TS val 1835896308 ecr 488075894], length 36
20:31:00.362887 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 144:260, ack 1, win 501, options [nop,nop,TS val 1835896308 ecr 488075894], length 116
20:31:00.362915 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 260:296, ack 1, win 501, options [nop,nop,TS val 1835896308 ecr 488075894], length 36
20:31:00.362999 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 296:516, ack 1, win 501, options [nop,nop,TS val 1835896308 ecr 488075894], length 220
20:31:00.363025 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 516:552, ack 1, win 501, options [nop,nop,TS val 1835896308 ecr 488075894], length 36
20:31:00.363064 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 552:748, ack 1, win 501, options [nop,nop,TS val 1835896308 ecr 488075894], length 196
20:31:00.363098 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 748:784, ack 1, win 501, options [nop,nop,TS val 1835896308 ecr 488075894], length 36
20:31:00.363130 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 784:980, ack 1, win 501, options [nop,nop,TS val 1835896308 ecr 488075894], length 196
20:31:00.363160 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 980:1016, ack 1, win 501, options [nop,nop,TS val 1835896308 ecr 488075894], length 36
20:31:00.363189 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 1016:1212, ack 1, win 501, options [nop,nop,TS val 1835896308 ecr 488075894], length 196
20:31:00.363224 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 1212:1444, ack 1, win 501, options [nop,nop,TS val 1835896308 ecr 488075894], length 232
20:31:00.363242 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 1444:1480, ack 1, win 501, options [nop,nop,TS val 1835896308 ecr 488075894], length 36
20:31:00.363276 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 1480:1676, ack 1, win 501, options [nop,nop,TS val 1835896308 ecr 488075894], length 196
20:31:00.363301 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 1676:1712, ack 1, win 501, options [nop,nop,TS val 1835896308 ecr 488075894], length 36
20:31:00.363329 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 1712:1908, ack 1, win 501, options [nop,nop,TS val 1835896308 ecr 488075894], length 196
20:31:00.363352 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 1908:1944, ack 1, win 501, options [nop,nop,TS val 1835896308 ecr 488075894], length 36
20:31:00.363384 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 1944:2140, ack 1, win 501, options [nop,nop,TS val 1835896308 ecr 488075894], length 196
20:31:00.363415 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 2140:2176, ack 1, win 501, options [nop,nop,TS val 1835896308 ecr 488075894], length 36
20:31:00.363462 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 2176:2372, ack 1, win 501, options [nop,nop,TS val 1835896308 ecr 488075894], length 196
20:31:00.363495 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 2372:2408, ack 1, win 501, options [nop,nop,TS val 1835896309 ecr 488075894], length 36
20:31:00.363539 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 2408:2604, ack 1, win 501, options [nop,nop,TS val 1835896309 ecr 488075894], length 196
20:31:00.363563 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 2604:2640, ack 1, win 501, options [nop,nop,TS val 1835896309 ecr 488075894], length 36
20:31:00.363603 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 2640:2844, ack 1, win 501, options [nop,nop,TS val 1835896309 ecr 488075894], length 204
20:31:00.363631 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 2844:2880, ack 1, win 501, options [nop,nop,TS val 1835896309 ecr 488075894], length 36
20:31:00.363660 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 2880:3084, ack 1, win 501, options [nop,nop,TS val 1835896309 ecr 488075894], length 204
20:31:00.363682 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 3084:3120, ack 1, win 501, options [nop,nop,TS val 1835896309 ecr 488075894], length 36
20:31:00.363713 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 3120:3324, ack 1, win 501, options [nop,nop,TS val 1835896309 ecr 488075894], length 204
20:31:00.363741 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 3324:3360, ack 1, win 501, options [nop,nop,TS val 1835896309 ecr 488075894], length 36
20:31:00.363777 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 3360:3564, ack 1, win 501, options [nop,nop,TS val 1835896309 ecr 488075894], length 204
20:31:00.363802 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 3564:3600, ack 1, win 501, options [nop,nop,TS val 1835896309 ecr 488075894], length 36
20:31:00.363833 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 3600:3804, ack 1, win 501, options [nop,nop,TS val 1835896309 ecr 488075894], length 204
