root@comp3134:~# tcpdump -i enp1s0 tcp
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on enp1s0, link-type EN10MB (Ethernet), capture size 262144 bytes
20:32:15.058880 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 3809881437:3809881545, ack 3713447368, win 501, options [nop,nop,TS val 1835971004 ecr 488150586], length 108
20:32:15.058942 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 108:144, ack 1, win 501, options [nop,nop,TS val 1835971004 ecr 488150586], length 36
20:32:15.058975 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 144:260, ack 1, win 501, options [nop,nop,TS val 1835971004 ecr 488150586], length 116
20:32:15.059012 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 260:296, ack 1, win 501, options [nop,nop,TS val 1835971004 ecr 488150586], length 36
20:32:15.059633 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 296:540, ack 1, win 501, options [nop,nop,TS val 1835971005 ecr 488150586], length 244
20:32:15.059673 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 540:576, ack 1, win 501, options [nop,nop,TS val 1835971005 ecr 488150586], length 36
20:32:15.059718 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 576:796, ack 1, win 501, options [nop,nop,TS val 1835971005 ecr 488150586], length 220
20:32:15.059756 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 796:832, ack 1, win 501, options [nop,nop,TS val 1835971005 ecr 488150586], length 36
20:32:15.059799 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 832:1052, ack 1, win 501, options [nop,nop,TS val 1835971005 ecr 488150586], length 220
20:32:15.059828 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 1052:1088, ack 1, win 501, options [nop,nop,TS val 1835971005 ecr 488150586], length 36
20:32:15.059872 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 1088:1308, ack 1, win 501, options [nop,nop,TS val 1835971005 ecr 488150586], length 220
20:32:15.059905 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 1308:1344, ack 1, win 501, options [nop,nop,TS val 1835971005 ecr 488150586], length 36
